type,timestamp,ping.latency,download.bandwidth,upload.bandwidth,packetLoss,isp,server.name,server.host,result.url
result,2020-08-05 06:00:19+07:00,8.207,34.948048,15.644008,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/0c9c0a89-b620-40bd-bffd-7f9ee26bdb7e
result,2020-08-05 06:15:25+07:00,9.857000000000001,143.903792,15.538128,0.0,FirstMedia,FirstMedia,jkt-speedtest.fast.net.id,https://www.speedtest.net/result/c/f0836fa9-f705-49fa-a758-04fdd202e610
result,2020-08-05 06:30:15+07:00,9.717,38.369232,15.640592,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/748d375d-de37-4945-a5a6-3df97f8caf24
result,2020-08-05 06:45:22+07:00,9.597000000000001,144.520856,15.31808,0.0,FirstMedia,PT Des Teknologi Informasi,speedtest.desnet.id,https://www.speedtest.net/result/c/a26c7943-9e4d-4f51-83f4-c7d8523328f0
result,2020-08-05 07:00:30+07:00,12.905,151.682544,13.668992,0.0,FirstMedia,PT Des Teknologi Informasi,speedtest.desnet.id,https://www.speedtest.net/result/c/f7822649-cc2c-4206-ae05-a55c9efdb9a9
result,2020-08-05 07:15:24+07:00,10.417,128.818488,14.932248,0.0,FirstMedia,PT Des Teknologi Informasi,speedtest.desnet.id,https://www.speedtest.net/result/c/f09614b0-78d7-451a-8a10-4f555a0c1894
result,2020-08-05 07:30:23+07:00,12.972999999999999,20.03684,15.172648,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/8fbd35da-3a0d-42c6-8ecc-44f91795957f
result,2020-08-05 07:45:22+07:00,12.592,153.5762,15.429616,0.0,FirstMedia,BALIFIBER (PT Bali Towerindo Sentra Tbk),speedtest.balifiber.id,https://www.speedtest.net/result/c/bd9fd468-f19b-440b-89b8-dec28b7a5e18
result,2020-08-05 08:00:17+07:00,12.224,34.951304,15.395168,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/bcde61d6-c9f2-4d15-b2eb-9098ed92ecc4
result,2020-08-05 08:15:23+07:00,9.782,151.673408,15.309952,0.0,FirstMedia,BALIFIBER (PT Bali Towerindo Sentra Tbk),speedtest.balifiber.id,https://www.speedtest.net/result/c/4a6e1606-7a05-45db-b00f-5f4bbd916ea7
result,2020-08-05 08:30:22+07:00,9.83,27.813008,15.475968,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/19390ab3-b24d-4b82-ad79-d9f876909083
result,2020-08-05 08:45:28+07:00,9.965,126.66672,15.415088,0.0,FirstMedia,PT Des Teknologi Informasi,speedtest.desnet.id,https://www.speedtest.net/result/c/2d4a1512-f807-4052-b1b0-c06f351b639b
result,2020-08-05 09:00:26+07:00,13.550999999999998,127.200616,15.289808,0.0,FirstMedia,CBN,speedtest.cbn.id,https://www.speedtest.net/result/c/22212285-a719-44be-9290-f8016f8ef898
result,2020-08-05 09:15:22+07:00,12.792,84.21188,14.687768,0.0,FirstMedia,PT Des Teknologi Informasi,speedtest.desnet.id,https://www.speedtest.net/result/c/df80f950-e29b-44cc-aaef-b05ec79b44f9
result,2020-08-05 09:30:28+07:00,16.26,144.176104,15.2594,0.0,FirstMedia,BALIFIBER (PT Bali Towerindo Sentra Tbk),speedtest.balifiber.id,https://www.speedtest.net/result/c/66964dec-9ad2-4a66-a785-226f16a6fca8
result,2020-08-05 09:45:20+07:00,10.3,16.444416,15.22324,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/a0450749-e3dd-412f-a1aa-698cfb1dc057
result,2020-08-05 10:00:27+07:00,14.079,106.933024,13.20932,0.0,FirstMedia,PT Des Teknologi Informasi,speedtest.desnet.id,https://www.speedtest.net/result/c/db7d7cb1-171e-4f89-b177-57a9b52893a3
result,2020-08-05 10:15:29+07:00,11.307,106.371048,14.909848,0.0,FirstMedia,My Republic Indonesia,158.140.187.5,https://www.speedtest.net/result/c/ee776852-7dfa-418f-930f-eb66daa8caef
result,2020-08-05 10:30:22+07:00,11.337,143.308696,15.377944,0.0,FirstMedia,BALIFIBER (PT Bali Towerindo Sentra Tbk),speedtest.balifiber.id,https://www.speedtest.net/result/c/1683570a-74b1-41b2-b8aa-1ce9fe9ddd64
result,2020-08-05 10:45:24+07:00,9.697000000000001,18.806816,15.517472,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/74e9bd6e-8019-4e57-b69c-0000b2c24e05
result,2020-08-05 11:00:32+07:00,10.027999999999999,129.266064,15.526144,0.0,FirstMedia,My Republic Indonesia,158.140.187.5,https://www.speedtest.net/result/c/eb78523f-6413-4306-b6bf-b62a1b90a3fa
result,2020-08-05 11:15:26+07:00,10.6,26.859768,15.454856,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/3918b0ae-3075-41ba-b390-78f33b42be79
result,2020-08-05 11:30:31+07:00,9.301,135.117264,15.319952,0.0,FirstMedia,PT Primacom Interbuana,speedtest.primacom.id,https://www.speedtest.net/result/c/e04498ac-ff1e-44f5-acd5-3e88b4fd3999
result,2020-08-05 11:45:30+07:00,12.097000000000001,14.393736,11.202376,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/62923d40-67b5-4ecc-948b-07719a5d3409
result,2020-08-05 12:00:25+07:00,11.068,103.050896,15.113392,0.0,FirstMedia,CBN,speedtest.cbn.id,https://www.speedtest.net/result/c/480b22e8-3944-4ee2-b23b-4fad3059b1b7
result,2020-08-05 12:15:33+07:00,14.370999999999999,83.565608,14.155624,0.0,FirstMedia,PT Des Teknologi Informasi,speedtest.desnet.id,https://www.speedtest.net/result/c/13516410-9d84-4642-aec3-7c3ad98591f5
result,2020-08-05 12:30:28+07:00,10.790999999999999,77.19204,13.548512,0.0,FirstMedia,CBN,speedtest.cbn.id,https://www.speedtest.net/result/c/0c9315c2-170c-4d2b-be7a-68817583e487
result,2020-08-05 12:45:26+07:00,10.838,146.511208,15.369512,0.0,FirstMedia,BALIFIBER (PT Bali Towerindo Sentra Tbk),speedtest.balifiber.id,https://www.speedtest.net/result/c/d51b20cb-e016-429a-914a-46deb5ba2629
result,2020-08-05 13:00:31+07:00,12.36,84.906992,15.254568,0.0,FirstMedia,My Republic Indonesia,158.140.187.5,https://www.speedtest.net/result/c/b7e713cb-56f7-4556-a96f-2cfee82bf98e
result,2020-08-05 13:15:27+07:00,11.640999999999998,141.998224,15.150224,0.0,FirstMedia,BALIFIBER (PT Bali Towerindo Sentra Tbk),speedtest.balifiber.id,https://www.speedtest.net/result/c/2049e298-1a08-4ee0-843c-5bafaadd3db4
result,2020-08-05 13:30:33+07:00,14.398,61.001288,15.56196,0.0,FirstMedia,PT Des Teknologi Informasi,speedtest.desnet.id,https://www.speedtest.net/result/c/7af01252-5a2d-439d-b0b7-2b5ec9a1f43b
result,2020-08-05 13:45:31+07:00,9.673,13.393872,14.465824,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/df8ae4f3-2c6d-4cc7-a402-c57a57765984
result,2020-08-05 14:00:28+07:00,11.675999999999998,140.081904,14.688568,0.0,FirstMedia,BALIFIBER (PT Bali Towerindo Sentra Tbk),speedtest.balifiber.id,https://www.speedtest.net/result/c/957a8b09-d3c5-4a2c-a3ce-82c05eeaf0e4
result,2020-08-05 14:15:21+07:00,10.958,6.268896,12.56292,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/86afd722-d98f-418a-a6ba-79defcb885bd
result,2020-08-05 14:30:27+07:00,10.467,8.444624,13.121048,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/d267337c-86f1-4a4f-9d62-65cd9c4999e3
result,2020-08-05 14:45:32+07:00,10.69,106.384376,14.972016,0.0,FirstMedia,My Republic Indonesia,158.140.187.5,https://www.speedtest.net/result/c/14ff47ae-7749-412e-8cec-9d20523601cd
result,2020-08-05 15:00:38+07:00,9.568,82.333096,13.70616,0.0,FirstMedia,CBN,speedtest.cbn.id,https://www.speedtest.net/result/c/8c5c95f4-c1bb-4fad-acb7-bf33ac0df17b
result,2020-08-05 15:15:20+07:00,10.607999999999999,14.808192,14.985232,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/01cf9d56-9d1c-4463-947c-5081fec17463
result,2020-08-05 15:30:31+07:00,10.845999999999998,139.900688,15.47572,0.0,FirstMedia,BALIFIBER (PT Bali Towerindo Sentra Tbk),speedtest.balifiber.id,https://www.speedtest.net/result/c/49e1bbb3-df23-4348-84e8-e4dbf8d5fdd1
result,2020-08-05 15:45:25+07:00,9.915,112.870152,15.611072,0.0,FirstMedia,CBN,speedtest.cbn.id,https://www.speedtest.net/result/c/bfecebe3-affc-4d0a-9ec8-1774916d62aa
result,2020-08-05 16:00:27+07:00,13.067,5.654168,13.580032,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/0586f9e6-3a35-476d-b9f7-7e5d98edbf7a
result,2020-08-05 16:15:23+07:00,9.981,101.534488,14.67828,0.0,FirstMedia,CBN,speedtest.cbn.id,https://www.speedtest.net/result/c/cd53e14c-423b-46bf-ab4b-1ec8e06c7999
result,2020-08-05 16:30:19+07:00,11.548,14.829656,15.48972,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/95629754-6383-48ca-8e77-2df75447699d
result,2020-08-05 16:45:36+07:00,9.796,19.012968,15.208832,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/53a0eb3a-8f57-4409-9de4-d193eec44b63
result,2020-08-05 17:00:30+07:00,19.846,109.017488,15.034328,0.0,FirstMedia,BALIFIBER (PT Bali Towerindo Sentra Tbk),speedtest.balifiber.id,https://www.speedtest.net/result/c/17b6ab62-155f-4d38-ae0e-32bc14cba42f
result,2020-08-05 18:32:58+07:00,10.423,12.270696,15.049304,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/f5dc2cfd-1c7b-4df5-a615-6c926a9fabfb
result,2020-08-05 18:55:22+07:00,9.997,18.41244,15.416328,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/6d0639f5-0499-4585-8a19-b641e0485edf
result,2020-08-05 19:00:27+07:00,9.362,75.761968,15.147952,0.0,FirstMedia,CBN,speedtest.cbn.id,https://www.speedtest.net/result/c/6f4ae1a8-afb3-4d45-ba0f-d747c89069b7
result,2020-08-05 19:05:22+07:00,12.719000000000001,18.190432,14.251752,0.0,FirstMedia,Biznet Networks,speedtest.biznetnetworks.com,https://www.speedtest.net/result/c/5d9ea806-59e1-4025-9e1a-354f9730c20d
result,2020-08-05 19:07:27+07:00,23.48,67.200392,12.602432,0.0,FirstMedia,BALIFIBER (PT Bali Towerindo Sentra Tbk),speedtest.balifiber.id,https://www.speedtest.net/result/c/10f98cec-f784-4815-a49d-cda045368178
